a,b,reltype
Q3615940,Q439435,spouse
Q3659507,Q616590,spouse
Q368516,Q54348,spouse
Q368852,Q490170,spouse
Q368852,Q6781992,spouse
Q368892,Q704280,father
Q3700561,Q16090573,child
Q3703166,Q7137845,spouse
Q3703167,Q491482,spouse
Q3703171,Q489462,sibling
Q3724024,Q495407,spouse
Q3776444,Q495668,sibling
Q378483,Q12604162,spouse
Q378483,Q14304,child
Q378483,Q16180284,child
Q378483,Q3382230,child
Q378483,Q483467,child
Q378483,Q485556,child
Q378483,Q488670,child
Q378483,Q488700,child
Q378483,Q497473,father
Q378483,Q497507,father
Q378483,Q498707,child
Q378483,Q626461,child
Q378483,Q6743293,spouse
Q378483,Q8512758,sibling
Q378483,Q8512766,sibling
Q3786443,Q6783577,spouse
Q379396,Q135255720,spouse
Q379662,Q12614474,child
Q379662,Q16262234,sibling
Q379667,Q27951694,child
Q380118,Q256932,spouse
Q380121,Q496384,spouse
Q380681,Q134294425,spouse
Q380681,Q18998408,father
Q380681,Q64918664,child
Q3814008,Q485517,spouse
Q3816460,Q158056,spouse
Q384293,Q12590047,spouse
Q385795,Q10665,father
Q385795,Q263732,father
Q385795,Q263732,mother
Q385795,Q317824,sibling
Q385795,Q4330912,sibling
Q385795,Q56226,sibling
Q385795,Q705218,sibling
Q3890747,Q57208109,spouse
Q390099,Q12610164,sibling
Q390099,Q12610168,mother
Q390099,Q138048,child
Q390099,Q14356,spouse
Q390099,Q7848255,child
Q390099,Q7848332,child
Q391400,Q153778,sibling
Q391400,Q626491,sibling
Q391965,Q446878,spouse
Q402165,Q456828,spouse
Q402165,Q4749844,child
Q402179,Q137644901,father
Q402179,Q27953889,child
Q402179,Q31178898,child
Q402179,Q54981984,spouse
Q4022738,Q123157247,spouse
Q41117,Q1062006,sibling
Q41117,Q271067,child
Q41117,Q463949,spouse
Q41117,Q489279,father
Q41117,Q702565,spouse
Q41117,Q840719,child
Q4124884,Q487020,spouse
Q4132779,Q22973900,spouse
Q4307061,Q296734,father
Q4307061,Q4307062,sibling
Q4307061,Q486569,sibling
Q4307062,Q15057674,sibling
Q4307062,Q296734,father
Q4307062,Q296734,mother
Q4307062,Q4307061,sibling
Q4307062,Q486569,sibling
Q4307062,Q497174,mother
Q4307062,Q562683,sibling
Q43087486,Q484459,spouse
Q4330912,Q263732,mother
Q4330912,Q317824,sibling
Q4330912,Q385795,sibling
Q4330912,Q705218,sibling
Q433295,Q16168961,mother
Q433295,Q493995,spouse
Q433295,Q65296920,child
Q433383,Q27906365,child
Q433389,Q14723581,sibling
Q433389,Q15971448,sibling
Q434562,Q11647829,spouse
Q439435,Q3615940,spouse
Q439722,Q109457323,sibling
Q439722,Q16177510,father
Q44260,Q6420543,sibling
Q444047,Q2233555,child
Q445643,Q12596616,spouse
Q445643,Q12611345,child
Q445643,Q12611389,child
Q445643,Q12612881,child
Q445643,Q16181530,child
Q445643,Q494412,child
Q446878,Q391965,spouse
Q449397,Q495748,spouse
Q456182,Q6153892,spouse
Q456408,Q55616008,spouse
Q456609,Q24000661,sibling
Q456828,Q402165,spouse
Q456828,Q4749844,child
Q459342,Q119713819,child
Q459342,Q119714071,child
Q459342,Q16084347,child
